,decile,prob,prob,default,default
,,amin,amax,sum,count
9,9,0.7008861151575881,0.9877490203357532,41.0,49
8,8,0.511758868122415,0.7000289784827276,28.0,49
7,7,0.3715851709569766,0.506453301534085,23.0,49
6,6,0.2578227361463257,0.370692883910297,15.0,49
5,5,0.18770806461756728,0.25595652116000633,11.0,49
4,4,0.12345276861337612,0.18594474158349905,5.0,49
3,3,0.06974500919051803,0.12256419461105725,4.0,49
2,2,0.03303513568140113,0.06952477854403744,5.0,49
1,1,0.009484314809626098,0.03268348565629578,1.0,49
0,0,0.00035018154383011324,0.009188024755710225,0.0,49
